word,phonetic,pos,definition,example,frequency,difficulty
capacity,/kəˈpæsəti/,n.,容量,"The server is running at full capacity.",5,2
memory,/ˈmeməri/,n.,内存,"You need more memory to run this application.",5,2
storage,/ˈstɔːrɪdʒ/,n.,存储,"Cloud storage is becoming increasingly popular.",5,2
backup,/ˈbækʌp/,n./v.,备份,"Always create backups of important files.",5,2
recovery,/rɪˈkʌvəri/,n.,恢复,"Data recovery may be possible after a system crash.",4,2
transfer,/ˈtrænsfɜː/,v./n.,传输,"The file transfer will take about 10 minutes.",5,2
sync,/sɪŋk/,v.,同步,"Make sure your devices are synced.",5,2
share,/ʃeə/,v.,共享,"You can share your screen during the meeting.",5,1
smart,/smɑːt/,adj.,智能的,"We're installing smart technology throughout the office.",5,1
artificial,/ˌɑːtɪˈfɪʃl/,adj.,人工的,"Artificial intelligence is transforming business.",4,2
intelligence,/ɪnˈtelɪdʒəns/,n.,智能,"Artificial intelligence is changing how we work.",4,2
connectivity,/ˌkɒnekˈtɪvəti/,n.,连接性,"Poor connectivity can affect productivity.",4,3
portfolio,/pɔːtˈfəʊliəʊ/,n.,投资组合/作品集,"She has an impressive design portfolio.",4,2
proficiency,/prəˈfɪʃnsi/,n.,精通,"Proficiency in Excel is required for this position.",4,3
requirement,/rɪˈkwaɪəmənt/,n.,要求,"Please review the job requirements carefully.",5,2
revenue,/ˈrevənjuː/,n.,收入,"Our annual revenue increased by 15%.",5,2
investment,/ɪnˈvestmənt/,n.,投资,"This requires a significant financial investment.",5,2
profit,/ˈprɒfɪt/,n.,利润,"Profits are up compared to last year.",5,2
loss,/lɒs/,n.,损失,"The company reported a financial loss.",5,2
transaction,/trænˈzækʃn/,n.,交易,"All financial transactions are recorded.",5,2
payment,/ˈpeɪmənt/,n.,付款,"The payment is due at the end of the month.",5,1
invoice,/ˈɪnvɔɪs/,n.,发票,"Please send the invoice to our accounts department.",5,2
expense,/ɪkˈspens/,n.,费用,"Business expenses are tax deductible.",5,2
quote,/kwəʊt/,n./v.,报价,"Can you send me a quote for this project?",5,2
estimate,/ˈestɪmət/,n./v.,估计,"This is just a rough estimate of the costs.",5,2
currency,/ˈkʌrənsi/,n.,货币,"All prices are in local currency.",5,2
conversion,/kənˈvɜːʃn/,n.,转换,"What's the conversion rate between dollars and euros?",4,2
inflation,/ɪnˈfleɪʃn/,n.,通货膨胀,"Inflation has affected our operating costs.",4,3
deposit,/dɪˈpɒzɪt/,n.,押金,"A 50% deposit is required to confirm your booking.",5,2
refund,/ˈriːfʌnd/,n./v.,退款,"If you're not satisfied, we'll issue a full refund.",5,2
balance,/ˈbæləns/,n.,余额,"Check your account balance regularly.",5,1
credit,/ˈkredɪt/,n.,信用,"The amount will be credited to your account.",5,2
debit,/ˈdebɪt/,n.,借记,"The amount will be debited from your account.",5,2
tax,/tæks/,n.,税,"Don't forget to include tax in your calculations.",5,1
insurance,/ɪnˈʃʊərəns/,n.,保险,"Travel insurance is essential for international trips.",5,2
policy,/ˈpɒləsi/,n.,政策/保险单,"Read the insurance policy carefully before signing.",5,2
claim,/kleɪm/,n./v.,索赔,"You need to file an insurance claim.",5,2
coverage,/ˈkʌvərɪdʒ/,n.,覆盖范围,"Check what your insurance coverage includes.",5,2
premium,/ˈpriːmiəm/,n.,保费,"Insurance premiums have increased this year.",4,2
loan,/ləʊn/,n.,贷款,"They took out a loan to buy their house.",5,2
mortgage,/ˈmɔːɡɪdʒ/,n.,抵押贷款,"They have a 25-year mortgage on their house.",5,2
interest,/ˈɪntrəst/,n.,利息,"What's the interest rate on this loan?",5,2
investment,/ɪnˈvestmənt/,n.,投资,"It's a long-term investment strategy.",5,2
stock,/stɒk/,n.,股票,"The company's stock price has risen.",5,2
share,/ʃeə/,n.,股份,"They bought shares in several companies.",5,2
dividend,/ˈdɪvɪdend/,n.,股息,"The company pays annual dividends to shareholders.",4,3
portfolio,/pɔːtˈfəʊliəʊ/,n.,投资组合,"It's important to have a diverse investment portfolio.",4,3
asset,/ˈæset/,n.,资产,"The building is the company's most valuable asset.",5,2
liability,/ˌlaɪəˈbɪləti/,n.,负债,"Companies must report both assets and liabilities.",4,3
equity,/ˈekwəti/,n.,股本,"They have significant equity in their home.",4,3
audit,/ˈɔːdɪt/,n./v.,审计,"The company undergoes an annual financial audit.",4,3
compliance,/kəmˈplaɪəns/,n.,合规,"Regulatory compliance is essential for all businesses.",4,3
regulation,/ˌreɡjuˈleɪʃn/,n.,法规,"Financial regulations have become stricter.",4,2
standard,/ˈstændəd/,n.,标准,"We maintain high quality standards.",5,1
certificate,/səˈtɪfɪkət/,n.,证书,"You'll receive a certificate upon completion.",5,2
license,/ˈlaɪsns/,n.,许可证,"You need a license to operate this type of business.",5,2
warranty,/ˈwɒrənti/,n.,保修,"The product comes with a two-year warranty.",5,2
guarantee,/ˌɡærənˈtiː/,n./v.,保证,"We guarantee all our work.",5,2
commitment,/kəˈmɪtmənt/,n.,承诺,"We have a commitment to customer satisfaction.",5,2
obligation,/ˌɒblɪˈɡeɪʃn/,n.,义务,"You have no obligation to buy anything.",4,3
responsible,/rɪˈspɒnsəbl/,adj.,负责的,"Who is responsible for this project?",5,1
accountability,/əˌkaʊntəˈbɪləti/,n.,责任,"Accountability is an important aspect of leadership.",4,3
transparent,/trænsˈpærənt/,adj.,透明的,"We aim to be transparent in all our operations.",4,2
ethical,/ˈeθɪkl/,adj.,道德的,"We follow ethical business practices.",4,2
integrity,/ɪnˈteɡrəti/,n.,诚信,"Personal integrity is highly valued in our company.",4,2
confidential,/ˌkɒnfɪˈdenʃl/,adj.,机密的,"This information is strictly confidential.",5,2
privacy,/ˈprɪvəsi/,n.,隐私,"We respect your privacy.",5,1
consent,/kənˈsent/,n./v.,同意,"We need your consent before proceeding.",5,2
agreement,/əˈɡriːmənt/,n.,协议,"All parties have signed the agreement.",5,1
condition,/kənˈdɪʃn/,n.,条件,"These are the terms and conditions of service.",5,1
termination,/ˌtɜːmɪˈneɪʃn/,n.,终止,"Early termination of the contract incurs a fee.",4,3
renewal,/rɪˈnjuːəl/,n.,续订,"Your subscription is due for renewal.",5,2
extension,/ɪkˈstenʃn/,n.,延期,"We've granted a two-week extension for the project.",5,2
mandatory,/ˈmændətəri/,adj.,强制性的,"Attendance at the safety training is mandatory.",4,2
optional,/ˈɒpʃənl/,adj.,可选的,"Additional insurance coverage is optional.",5,2
essential,/ɪˈsenʃl/,adj.,必要的,"Good communication skills are essential for this role.",5,2
desirable,/dɪˈzaɪərəbl/,adj.,理想的,"Previous experience is desirable but not essential.",5,2
semiconductor,/ˌsemikənˈdʌktə/,n.,半导体,"This company produces advanced semiconductor chips.",4,3
circuit,/ˈsɜːkɪt/,n.,电路,"The circuit board needs to be replaced.",5,2
microchip,/ˈmaɪkrəʊtʃɪp/,n.,微芯片,"The microchip contains millions of transistors.",5,2
processor,/ˈprəʊsesə/,n.,处理器,"This computer has a fast processor.",5,1
transistor,/trænˈzɪstə/,n.,晶体管,"Transistors are essential components in modern electronics.",4,3
capacitor,/kəˈpæsɪtə/,n.,电容器,"The capacitor stores electrical energy.",4,3
resistor,/rɪˈzɪstə/,n.,电阻,"Resistors control the flow of electricity in a circuit.",4,3
diode,/ˈdaɪəʊd/,n.,二极管,"A diode allows current to flow in only one direction.",4,3
sensor,/ˈsensə/,n.,传感器,"The sensor detects motion and turns on the light.",5,2
motherboard,/ˈmʌðəbɔːd/,n.,主板,"The motherboard is the main circuit board in a computer.",5,2
graphics,/ˈɡræfɪks/,n.,图形,"The graphics card processes visual data.",5,2
CPU,/ˌsiː piː ˈjuː/,n.,中央处理器,"The CPU is the brain of the computer.",5,2
RAM,/ræm/,n.,随机存取存储器,"You need more RAM to run this program smoothly.",5,2
ROM,/rɒm/,n.,只读存储器,"ROM contains data that cannot be modified.",4,3
GPU,/ˌdʒiː piː ˈjuː/,n.,图形处理器,"Modern GPUs are powerful enough for AI applications.",5,2
SSD,/ˌes es ˈdiː/,n.,固态硬盘,"SSDs are faster than traditional hard drives.",5,2
HDD,/ˌeɪtʃ diː ˈdiː/,n.,硬盘驱动器,"HDDs offer more storage capacity at a lower price.",5,2
peripheral,/pəˈrɪfərəl/,n.,外设,"Keyboard and mouse are common computer peripherals.",5,2
interface,/ˈɪntəfeɪs/,n.,接口,"USB is a standard interface for connecting devices.",5,2
connector,/kəˈnektə/,n.,连接器,"The cable has different connectors at each end.",5,2
port,/pɔːt/,n.,端口,"Plug the monitor into the HDMI port.",5,1
socket,/ˈsɒkɪt/,n.,插座,"The CPU fits into a specific socket on the motherboard.",5,2
terminal,/ˈtɜːmɪnl/,n.,终端,"Connect the wires to the correct terminals.",5,2
amplifier,/ˈæmplɪfaɪə/,n.,放大器,"The amplifier increases the strength of the signal.",4,2
signal,/ˈsɪɡnəl/,n.,信号,"The signal strength is weak in this area.",5,1
frequency,/ˈfriːkwənsi/,n.,频率,"Radio stations broadcast at different frequencies.",5,2
voltage,/ˈvəʊltɪdʒ/,n.,电压,"This device operates at a low voltage.",4,3
current,/ˈkʌrənt/,n.,电流,"Never touch a wire with electric current flowing through it.",5,2
resistance,/rɪˈzɪstəns/,n.,电阻,"The resistance in the circuit affects the flow of electricity.",4,3
wattage,/ˈwɒtɪdʒ/,n.,瓦特数,"Check the wattage before plugging in the appliance.",4,3
power,/ˈpaʊə/,n.,电源,"The device needs a stable power supply.",5,1
battery,/ˈbætəri/,n.,电池,"My phone battery is running low.",5,1
charger,/ˈtʃɑːdʒə/,n.,充电器,"I forgot to bring my laptop charger.",5,1
adapter,/əˈdæptə/,n.,适配器,"You'll need a power adapter for international travel.",5,2
converter,/kənˈvɜːtə/,n.,转换器,"This converter changes AC to DC power.",4,3
inverter,/ɪnˈvɜːtə/,n.,逆变器,"Solar panels use an inverter to convert DC to AC power.",4,3
transformer,/trænsˈfɔːmə/,n.,变压器,"Transformers adjust voltage levels in power systems.",4,3
generator,/ˈdʒenəreɪtə/,n.,发电机,"They used a generator during the power outage.",5,2
wire,/waɪə/,n.,电线,"Connect the red wire to the positive terminal.",5,1
cable,/ˈkeɪbl/,n.,线缆,"The HDMI cable connects your TV to other devices.",5,1
fiber,/ˈfaɪbə/,n.,光纤,"Fiber optic cables transmit data using light.",5,2
broadband,/ˈbrɔːdbænd/,n.,宽带,"They have high-speed broadband internet.",5,2
wireless,/ˈwaɪələs/,adj.,无线的,"Most modern devices use wireless technology.",5,1
Bluetooth,/ˈbluːtuːθ/,n.,蓝牙,"Connect your headphones via Bluetooth.",5,1
WiFi,/ˈwaɪfaɪ/,n.,无线网络,"The hotel offers free WiFi.",5,1
router,/ˈruːtə/,n.,路由器,"Reset the router if your internet isn't working.",5,2
modem,/ˈməʊdem/,n.,调制解调器,"The modem connects your home network to the internet.",5,2
bandwidth,/ˈbændwɪdθ/,n.,带宽,"Video streaming requires significant bandwidth.",5,2
latency,/ˈleɪtənsi/,n.,延迟,"Low latency is crucial for online gaming.",4,3
protocol,/ˈprəʊtəkɒl/,n.,协议,"HTTP is a common internet protocol.",4,3
packet,/ˈpækɪt/,n.,数据包,"Data is transmitted across networks in packets.",4,3
encryption,/ɪnˈkrɪpʃn/,n.,加密,"End-to-end encryption protects your messages.",5,2
firewall,/ˈfaɪəwɔːl/,n.,防火墙,"A firewall prevents unauthorized access to your network.",5,2
VPN,/ˌviː piː ˈen/,n.,虚拟专用网络,"Use a VPN for secure internet browsing.",5,2
IoT,/ˌaɪ əʊ ˈtiː/,n.,物联网,"IoT devices can communicate with each other.",5,2
AI,/ˌeɪ ˈaɪ/,n.,人工智能,"AI technology is transforming many industries.",5,2
machine learning,/məˈʃiːn ˈlɜːnɪŋ/,n.,机器学习,"Machine learning algorithms improve with more data.",5,2
neural network,/ˈnjʊərəl ˈnetwɜːk/,n.,神经网络,"The neural network can recognize patterns in data.",4,3
algorithm,/ˈælɡərɪðəm/,n.,算法,"The search algorithm has been improved.",5,2
automation,/ˌɔːtəˈmeɪʃn/,n.,自动化,"Automation has replaced many manual processes.",5,2
robotics,/rəʊˈbɒtɪks/,n.,机器人技术,"Robotics is increasingly used in manufacturing.",4,3
drone,/drəʊn/,n.,无人机,"They used drones to survey the construction site.",5,2
wearable,/ˈweərəbl/,n.,可穿戴设备,"Smartwatches are popular wearable devices.",5,2
smartphone,/ˈsmɑːtfəʊn/,n.,智能手机,"Most people now use smartphones instead of basic mobile phones.",5,1
tablet,/ˈtæblət/,n.,平板电脑,"She takes notes on her tablet during meetings.",5,1
touchscreen,/ˈtʌtʃskriːn/,n.,触摸屏,"The device has a responsive touchscreen.",5,1
biometric,/ˌbaɪəʊˈmetrɪk/,adj.,生物识别的,"Biometric security features include fingerprint scanners.",4,3
scanner,/ˈskænə/,n.,扫描仪,"Use the scanner to create a digital copy of the document.",5,2
printer,/ˈprɪntə/,n.,打印机,"The office printer is out of ink.",5,1
photocopier,/ˈfəʊtəʊkɒpiə/,n.,复印机,"The photocopier is located in the copy room.",5,1
display,/dɪˈspleɪ/,n.,显示屏,"The laptop has a high-resolution display.",5,1
monitor,/ˈmɒnɪtə/,n.,显示器,"Connect the computer to an external monitor.",5,1
resolution,/ˌrezəˈluːʃn/,n.,分辨率,"Higher resolution screens show more detail.",5,2
pixel,/ˈpɪksl/,n.,像素,"The camera captures millions of pixels in each image.",5,2
LED,/ˌel iː ˈdiː/,n.,发光二极管,"LED lights are energy efficient.",5,2
LCD,/ˌel siː ˈdiː/,n.,液晶显示屏,"Most computer monitors use LCD technology.",5,2
OLED,/ˌəʊ el iː ˈdiː/,n.,有机发光二极管,"OLED displays offer better contrast and color.",4,3
speaker,/ˈspiːkə/,n.,扬声器,"The speakers provide excellent sound quality.",5,1
microphone,/ˈmaɪkrəfəʊn/,n.,麦克风,"Speak directly into the microphone for clear audio.",5,1
headphones,/ˈhedfəʊnz/,n.,耳机,"He wears noise-cancelling headphones when working.",5,1
webcam,/ˈwebkæm/,n.,网络摄像头,"Use your webcam for video conferences.",5,1
camera,/ˈkæmərə/,n.,相机,"Modern smartphones have high-quality cameras.",5,1
lens,/lenz/,n.,镜头,"Clean the camera lens regularly for clear images.",5,2
sensor,/ˈsensə/,n.,传感器,"The phone has multiple sensors including a fingerprint sensor.",5,2
accelerometer,/əkˌseləˈrɒmɪtə/,n.,加速度计,"The accelerometer detects when you rotate your phone.",4,3
GPS,/ˌdʒiː piː ˈes/,n.,全球定位系统,"Use GPS to navigate to the meeting location.",5,1
navigation,/ˌnævɪˈɡeɪʃn/,n.,导航,"The car has a built-in navigation system.",5,1
satellite,/ˈsætəlaɪt/,n.,卫星,"The data is transmitted via satellite.",5,2
antenna,/ænˈtenə/,n.,天线,"Adjust the antenna for better reception.",5,2
